"Adds a FeedReader block","Adds a FeedReader block"
"Feed URI","Feed URI"
"FeedReader: Sidebar","FeedReader: Sidebar"
"If empty, the feed's title will be used","If empty, the feed's title will be used"
"Item Count","Item Count"
"Sidebar","Sidebar"
"Template","Template"
"Title","Title"
