"Adds a FeedReader block","Fügt einen FeedReader Block hinzu"
"Feed URI","Feed URI"
"FeedReader: Sidebar","FeedReader: Seitenleiste"
"If empty, the feed's title will be used","Falls leer, wird der Titel des Feeds verwendet"
"Item Count","Elementanzahl"
"Sidebar","Seitenleiste"
"Template","Vorlage"
"Title","Titel"
